grb,ra,dec,coorderr,z
090926A,23h33m36s,-66° 19',3,2.1062
090926B,03h05m16s,-39° 01',3,1.24
090927A,22h55m49s,-70° 59',3,1.37
091003A,16h46m05s,+36° 38',13,0.8969
091018A,02h08m51s,-57° 32',3,0.971
091020A,11h42m52s,+50° 58',3,1.71
091024A,22h36m50s,+56° 52',3,1.09
091029A,04h00m44s,-56° 00',3,2.75
091109A,20h37m00s,-44° 11',3,3.076
091127A,02h26m17s,-18° 57',3,0.49
091208B,01h57m39s,+16° 53',3,1.063
100117A,00h45m02s,-01° 36',3,0.92
100219A,10h16m53s,-12° 34',3,4.67
100302A,13h01m23s,+74° 35',3,4.813
100316A,16h48m08s,+71° 50',3,3.155
100316B,10h54m00s,-45° 29',3,1.18
100316D,07h10m28s,-56° 09',3,0.06
100414A,12h14m28s,+20° 27',11,1.368
100418A,17h05m30s,+11° 28',3,0.62
100424A,13h57m49s,+01° 31',3,2.465
100425A,19h56m45s,-26° 26',3,1.755
100508A,05h05m00s,-20° 43',3,0.5201
100513A,11h18m19s,+03° 36',3,4.772
100518A,20h19m13s,-24° 32',3,4
100615A,11h48m50s,-19° 30',3,1.398
100621A,21h01m14s,-51° 05',3,0.54
100724A,12h58m16s,-11° 07',3,1.288
100728A,05h08m16s,-14° 20',3,1.567
100728B,02h56m13s,+00° 17',3,2.106
100814A,01h29m55s,-17° 59',3,1.439
100816A,23h26m58s,+26° 34',3,0.8049
100901A,01h48m59s,+22° 45',3,1.41
100905A,02h06m07s,+14° 56',3,7.9
100906A,01h54m50s,+55° 37',3,1.73
101219A,04h58m28s,-02° 32',3,0.718
101219B,00h49m02s,-34° 32',3,0.55
101225A,00h00m56s,+44° 36',3,0.33
110106B,08h56m47s,+47° 00',3,0.618
110128A,12h55m30s,+28° 05',3,2.339
110205A,10h58m21s,+67° 31',3,2.21
110213A,02h52m01s,+49° 17',3,1.4607
110213B,02h46m27s,+01° 11',10,1.083
110422A,07h27m59s,+75° 06',3,1.77
110503A,08h51m12s,+52° 13',3,1.613
110715A,15h50m38s,-46° 14',3,0.82
110731A,18h42m05s,-28° 33',3,2.83
110801A,05h59m22s,+80° 59',3,1.858
110808A,03h49m03s,-44° 11',3,1.348
110818A,21h09m32s,-63° 58',3,3.36
110918A,02h10m18s,-27° 17',3*20,0.982
111005A,14h53m08s,-19° 44',3,0.013
111008A,04h01m49s,-32° 41',3,4.9898
111107A,08h37m56s,-66° 30',3,2.893
111117A,00h50m49s,+23° 01',3,2.211
111123A,10h19m24s,-20° 38',3,3.1516
111129A,20h29m46s,-52° 43',3,1.0796
111209A,00h57m26s,-46° 47',3,0.68
111211A,10h12m22s,+11° 11',3,0.478
111225A,00h52m24s,+51° 35',3,0.297
111228A,10h00m19s,+18° 18',3,0.714
111229A,05h05m08s,-84° 43',3,1.3805
120119A,08h00m07s,-09° 04',3,3.1
120326A,18h15m42s,+69° 17',3,1.798
120327A,16h27m19s,-29° 25',3,2.813
120404A,15h40m03s,+12° 53',3,2.87
