time_sec	mag	mag_err	band	system	telescope	extcorr	source
902940.0000003772	18.706286117625474	0.0	Ks	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
1076603.9999999246	19.306286117625476	0.0	Ks	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
1249403.9999999246	19.986286117625475	0.0	Ks	AB	PAO/ESO-VISTA(4.1m)/VIRCAM	y	Rossi2020
1508070.0000003772	20.736286117625475	0.0	Ks	AB	PAO/VLT-UT4-Yepun/HAWK-I	y	Rossi2020
1766586.0000002012	21.546286117625474	0.0	Ks	AB	PAO/VLT-UT4-Yepun/HAWK-I	y	Rossi2020
1853076.0000002007	21.426286117625477	0.0	Ks	AB	PAO/VLT-UT4-Yepun/HAWK-I	y	Rossi2020
2198316.000000201	22.026286117625475	0.0	Ks	AB	PAO/VLT-UT4-Yepun/HAWK-I	y	Rossi2020
54444.95000036713	20.235845813620806	0.24	UVM2	AB	NGSO/Swift/UVOT	y	Rossi2020
93432.94999990443	21.635845813620804	0.45	UVM2	AB	NGSO/Swift/UVOT	y	Rossi2020
133220.20000009052	21.185845813620805	0.0	UVM2	AB	NGSO/Swift/UVOT	y	Rossi2020
180645.1000000453	21.085845813620804	0.0	UVM2	AB	NGSO/Swift/UVOT	y	Rossi2020
448143.8000004124	21.585845813620804	0.0	UVM2	AB	NGSO/Swift/UVOT	y	Rossi2020
125482.8000004124	19.473731708022836	0.05	u	AB	CTIO/VictorMBlanco(4m)/DECam	y	Rossi2020
211882.8000004124	21.793731708022836	0.16	u	AB	CTIO/VictorMBlanco(4m)/DECam	y	Rossi2020
298628.3999998541	22.593731708022833	0.32	u	AB	CTIO/VictorMBlanco(4m)/DECam	y	Rossi2020
848477.9999999749	26.429835146902086	0.27	F336W	AB	Hubble/HST/WFC3	y	Rossi2020
131366.64000013378	19.6487359529593	0.23	U	AB	LSO/NTT(3.58m)/EFOSC2+LSO/NTT(3.58m)/SOFI	y	Rossi2020
