grb,ra,dec,coorderr,z,beta,beta_err,path_AB,path_raw
130518A,23h43m14s,+47° 38',20,2.488,,,mag-AB-extcorr-03-05-2023/130518A_magAB_extcorr.txt,mag-03-05-2023/130518A_mag.txt
130603B,11h28m50s,+17° 03',3,0.3564,0.54,0.12,mag-AB-extcorr-03-05-2023/130603B_magAB_extcorr.txt,mag-03-05-2023/130603B_mag.txt
130604A,16h40m19s,+68° 13',3,1.06,,,mag-AB-extcorr-03-05-2023/130604A_magAB_extcorr.txt,mag-03-05-2023/130604A_mag.txt
130606A,16h37m37s,+29° 47',3,5.91,1.01,0.02,mag-AB-extcorr-03-05-2023/130606A_magAB_extcorr.txt,mag-03-05-2023/130606A_mag.txt
130610A,14h57m40s,+28° 11',3,2.092,0.85,0.07,mag-AB-extcorr-03-05-2023/130610A_magAB_extcorr.txt,mag-03-05-2023/130610A_mag.txt
130612A,17h19m13s,+16° 42',3,2.006,,,mag-AB-extcorr-03-05-2023/130612A_magAB_extcorr.txt,mag-03-05-2023/130612A_mag.txt
130701A,23h48m52s,+36° 06',3,1.155,0.75,0.02,mag-AB-extcorr-03-05-2023/130701A_magAB_extcorr.txt,mag-03-05-2023/130701A_mag.txt
130702A,15h12m36s,+16° 35',412,0.15,0.52,0.19,mag-AB-extcorr-03-05-2023/130702A_magAB_extcorr.txt,mag-03-05-2023/130702A_mag.txt
130831A,23h54m36s,+29° 27',3,0.48,1,0.05,mag-AB-extcorr-03-05-2023/130831A_magAB_extcorr.txt,mag-03-05-2023/130831A_mag.txt
130907A,14h23m31s,+45° 37',3,1.238,0.33,0.05,mag-AB-extcorr-03-05-2023/130907A_magAB_extcorr.txt,mag-03-05-2023/130907A_mag.txt
130925A,02h44m44s, -26° 08',3,0.347,0.32,0.03,mag-AB-extcorr-03-05-2023/130925A_magAB_extcorr.txt,mag-03-05-2023/130925A_mag.txt
131004A,19h44m36s,-02° 58',3,0.717,,,mag-AB-extcorr-03-05-2023/131004A_magAB_extcorr.txt,mag-03-05-2023/131004A_mag.txt
131011A,01h27m41s,+09° 33',315,1.874,,,mag-AB-extcorr-03-05-2023/131011A_magAB_extcorr.txt,mag-03-05-2023/131011A_mag.txt
131030A,23h00m19s,-05° 23',3,1.295,1.08,0.23,mag-AB-extcorr-03-05-2023/131030A_magAB_extcorr.txt,mag-03-05-2023/131030A_mag.txt
131103A,23h15m49s,-44° 40',3,0.599,,,mag-AB-extcorr-03-05-2023/131103A_magAB_extcorr.txt,mag-03-05-2023/131103A_mag.txt
131105A,04h44m03s,-62° 59',3,1.686,,,mag-AB-extcorr-03-05-2023/131105A_magAB_extcorr.txt,mag-03-05-2023/131105A_mag.txt
131108A,10h25m53s,+09° 54',30,2.4,,,mag-AB-extcorr-03-05-2023/131108A_magAB_extcorr.txt,mag-03-05-2023/131108A_mag.txt
131117A,22h09m21s,-31° 43',3,4.042,0.35,0.08,mag-AB-extcorr-03-05-2023/131117A_magAB_extcorr.txt,mag-03-05-2023/131117A_mag.txt
131231A,00h42m20s,-01° 51',9,0.642,,,mag-AB-extcorr-03-05-2023/131231A_magAB_extcorr.txt,mag-03-05-2023/131231A_mag.txt
140114A,12h33m56s,+12° 35',3,3,0.26,0.06,mag-AB-extcorr-03-05-2023/140114A_magAB_extcorr.txt,mag-03-05-2023/140114A_mag.txt
140206A,09h41m24s,+66° 45',3,2.73,0.8,0.05,mag-AB-extcorr-03-05-2023/140206A_magAB_extcorr.txt,mag-03-05-2023/140206A_mag.txt
140213A,07h00m52s,-73° 08',3,1.2076,0.8,0.1,mag-AB-extcorr-03-05-2023/140213A_magAB_extcorr.txt,mag-03-05-2023/140213A_mag.txt
140226A,14h45m58s,+15° 00',0.1,1.98,0.63,0.1,mag-AB-extcorr-03-05-2023/140226A_magAB_extcorr.txt,mag-03-05-2023/140226A_mag.txt
140301A,04h38m11s,-34° 17',3,1.416,,,mag-AB-extcorr-03-05-2023/140301A_magAB_extcorr.txt,mag-03-05-2023/140301A_mag.txt
140304A,02h02m40s,+33° 29',3,5.283,0.95,0.04,mag-AB-extcorr-03-05-2023/140304A_magAB_extcorr.txt,mag-03-05-2023/140304A_mag.txt
140311A,13h57m12s,+00° 37',3,4.954,0.85,0.02,mag-AB-extcorr-03-05-2023/140311A_magAB_extcorr.txt,mag-03-05-2023/140311A_mag.txt
140318A,12h16m13s,+20° 12',3,1.02,0.79,0.55,mag-AB-extcorr-03-05-2023/140318A_magAB_extcorr.txt,mag-03-05-2023/140318A_mag.txt
140419A,08h28m00s, +46° 13',3,3.956,0.61,0.01,mag-AB-extcorr-03-05-2023/140419A_magAB_extcorr.txt,mag-03-05-2023/140419A_mag.txt
140423A,13h09m10s,+49° 49',3,3.26,0.95,0.08,mag-AB-extcorr-03-05-2023/140423A_magAB_extcorr.txt,mag-03-05-2023/140423A_mag.txt
140428A,12h57m22s,+28° 21',3,4.7,0.86,0.06,mag-AB-extcorr-03-05-2023/140428A_magAB_extcorr.txt,mag-03-05-2023/140428A_mag.txt
140430A,06h51m43s,+23° 01',3,1.6,0.65,0.06,mag-AB-extcorr-03-05-2023/140430A_magAB_extcorr.txt,mag-03-05-2023/140430A_mag.txt
140506A,18h27m10s,-55° 34',3,0.889,0.24,0.27,mag-AB-extcorr-03-05-2023/140506A_magAB_extcorr.txt,mag-03-05-2023/140506A_mag.txt
140508A,17h02m31s,+46° 45',90*12,1.027,1.12,0.1,mag-AB-extcorr-03-05-2023/140508A_magAB_extcorr.txt,mag-03-05-2023/140508A_mag.txt
140509A,03h06m26s,-62° 39',3,2.4,,,mag-AB-extcorr-03-05-2023/140509A_magAB_extcorr.txt,mag-03-05-2023/140509A_mag.txt
140512A,19h17m29s,-15° 06',3,0.725,0.86,0.01,mag-AB-extcorr-03-05-2023/140512A_magAB_extcorr.txt,mag-03-05-2023/140512A_mag.txt
140515A,12h24m09s,+15° 05',3,6.32,0.77,0.04,mag-AB-extcorr-03-05-2023/140515A_magAB_extcorr.txt,mag-03-05-2023/140515A_mag.txt
140518A,15h08m55s,+42° 24',3,4.707,0.34,0.11,mag-AB-extcorr-03-05-2023/140518A_magAB_extcorr.txt,mag-03-05-2023/140518A_mag.txt
140606B,21h51m00s,+33° 41',180,0.384,1.39,0.02,mag-AB-extcorr-03-05-2023/140606B_magAB_extcorr.txt,mag-03-05-2023/140606B_mag.txt
140614A,15h24m56s,-79° 06',3,4.233,0.6,0.05,mag-AB-extcorr-03-05-2023/140614A_magAB_extcorr.txt,mag-03-05-2023/140614A_mag.txt
140620A,18h47m29s,+49° 44',120,2.04,,,mag-AB-extcorr-03-05-2023/140620A_magAB_extcorr.txt,mag-03-05-2023/140620A_mag.txt
140623A,13h13m00s,+75° 48',336,1.92,,,mag-AB-extcorr-03-05-2023/140623A_magAB_extcorr.txt,mag-03-05-2023/140623A_mag.txt
140629A,16h35m56s,+41° 53',3,2.275,0.9,0.05,mag-AB-extcorr-03-05-2023/140629A_magAB_extcorr.txt,mag-03-05-2023/140629A_mag.txt
140703A,00h51m58s,+45° 06',3,3.14,0.85,0.07,mag-AB-extcorr-03-05-2023/140703A_magAB_extcorr.txt,mag-03-05-2023/140703A_mag.txt
140710A,02h44m21s,+35° 30',3,0.558,0.34,0.07,mag-AB-extcorr-03-05-2023/140710A_magAB_extcorr.txt,mag-03-05-2023/140710A_mag.txt
140801A,03h01m00s,-30° 53',240,1.32,0.47,,mag-AB-extcorr-03-05-2023/140801A_magAB_extcorr.txt,mag-03-05-2023/140801A_mag.txt
140808A,14h26m05s,+48° 36',220,3.29,,,mag-AB-extcorr-03-05-2023/140808A_magAB_extcorr.txt,mag-03-05-2023/140808A_mag.txt
140903A,15h52m09s,+27° 35',3,0.351,0.76,0.12,mag-AB-extcorr-03-05-2023/140903A_magAB_extcorr.txt,mag-03-05-2023/140903A_mag.txt
140907A,03h12m35s,+46° 36',3,1.21,1.2,0.12,mag-AB-extcorr-03-05-2023/140907A_magAB_extcorr.txt,mag-03-05-2023/140907A_mag.txt
141004A,05h06m56s,+12° 49',3,0.573,,,mag-AB-extcorr-03-05-2023/141004A_magAB_extcorr.txt,mag-03-05-2023/141004A_mag.txt
141028A,21h30m48s,-00° 17',24,2.33,1.29,0.07,mag-AB-extcorr-03-05-2023/141028A_magAB_extcorr.txt,mag-03-05-2023/141028A_mag.txt
141109A,09h38m02s,-00° 36',3,2.993,,,mag-AB-extcorr-03-05-2023/141109A_magAB_extcorr.txt,mag-03-05-2023/141109A_mag.txt
141121A,08h10m40s,+22° 14',3,1.47,0.84,0.47,mag-AB-extcorr-03-05-2023/141121A_magAB_extcorr.txt,mag-03-05-2023/141121A_mag.txt
141220A,13h00m12s,+32° 09',3,1.3195,0.6,0.2,mag-AB-extcorr-03-05-2023/141220A_magAB_extcorr.txt,mag-03-05-2023/141220A_mag.txt
141221A,13h13m05s,+08° 13',3,1.45,0.64,0.03,mag-AB-extcorr-03-05-2023/141221A_magAB_extcorr.txt,mag-03-05-2023/141221A_mag.txt
141225A,09h15m00s,+33° 48',3,0.915,,,mag-AB-extcorr-03-05-2023/141225A_magAB_extcorr.txt,mag-03-05-2023/141225A_mag.txt
150101B,12h32m10s,-10° 57',3,0.134,,,mag-AB-extcorr-03-05-2023/150101B_magAB_extcorr.txt,mag-03-05-2023/150101B_mag.txt
150120B,02h37m11s,+08° 05',3,3.5,,,mag-AB-extcorr-03-05-2023/150120B_magAB_extcorr.txt,mag-03-05-2023/150120B_mag.txt
150206A,00h40m21s,-63° 11',3,2.087,,,mag-AB-extcorr-03-05-2023/150206A_magAB_extcorr.txt,mag-03-05-2023/150206A_mag.txt
150301B,05h56m38s,-57° 59',3,1.5169,,,mag-AB-extcorr-03-05-2023/150301B_magAB_extcorr.txt,mag-03-05-2023/150301B_mag.txt
150314A,08h26m38s,+63° 50',3,1.758,,,mag-AB-extcorr-03-05-2023/150314A_magAB_extcorr.txt,mag-03-05-2023/150314A_mag.txt
150323A,08h32m46s,+45° 26',3,0.593,1.1,0.21,mag-AB-extcorr-03-05-2023/150323A_magAB_extcorr.txt,mag-03-05-2023/150323A_mag.txt
150403A,20h46m01s,-62° 42',3,2.06,,,mag-AB-extcorr-03-05-2023/150403A_magAB_extcorr.txt,mag-03-05-2023/150403A_mag.txt
150413A,12h41m32s,+71° 49',3,3.139,0.77,0.09,mag-AB-extcorr-03-05-2023/150413A_magAB_extcorr.txt,mag-03-05-2023/150413A_mag.txt
150423A,14h46m24s,+12° 17',3,1.394,0.8,0.3,mag-AB-extcorr-03-05-2023/150423A_magAB_extcorr.txt,mag-03-05-2023/150423A_mag.txt
150514A,04h59m24s,-60° 55',7,0.807,,,mag-AB-extcorr-03-05-2023/150514A_magAB_extcorr.txt,mag-03-05-2023/150514A_mag.txt
150518A,15h36m50s, +16° 16',60,0.256,,,mag-AB-extcorr-03-05-2023/150518A_magAB_extcorr.txt,mag-03-05-2023/150518A_mag.txt
150727A,13h35m58s,-18° 21',3,0.313,,,mag-AB-extcorr-03-05-2023/150727A_magAB_extcorr.txt,mag-03-05-2023/150727A_mag.txt
150728A,19h29m09s,+33° 54',3,0.46,,,mag-AB-extcorr-03-05-2023/150728A_magAB_extcorr.txt,mag-03-05-2023/150728A_mag.txt
150818A,15h21m47s,+68° 21',3,0.282,,,mag-AB-extcorr-03-05-2023/150818A_magAB_extcorr.txt,mag-03-05-2023/150818A_mag.txt
150821A,22h47m37s,-57° 52',3,0.755,,,mag-AB-extcorr-03-05-2023/150821A_magAB_extcorr.txt,mag-03-05-2023/150821A_mag.txt
150910A,00h22m42s,+33° 30',3,1.3585,0.53,0.14,mag-AB-extcorr-03-05-2023/150910A_magAB_extcorr.txt,mag-03-05-2023/150910A_mag.txt
150915A,21h18m55s,-34° 51',3,1.968,,,mag-AB-extcorr-03-05-2023/150915A_magAB_extcorr.txt,mag-03-05-2023/150915A_mag.txt
151021A,22h30m27s,-33° 12',3,2.33,,,mag-AB-extcorr-03-05-2023/151021A_magAB_extcorr.txt,mag-03-05-2023/151021A_mag.txt
151027A,18h09m58s,+61° 23',3,0.81,,,mag-AB-extcorr-03-05-2023/151027A_magAB_extcorr.txt,mag-03-05-2023/151027A_mag.txt
151027B,05h04m57s,-06° 26',3,4.063,0.5,0.05,mag-AB-extcorr-03-05-2023/151027B_magAB_extcorr.txt,mag-03-05-2023/151027B_mag.txt
151029A,02h34m08s,-35° 22',3,1.423,1.5,0.39,mag-AB-extcorr-03-05-2023/151029A_magAB_extcorr.txt,mag-03-05-2023/151029A_mag.txt
151031A,05h32m48s,-39° 05',3,1.167,,,mag-AB-extcorr-03-05-2023/151031A_magAB_extcorr.txt,mag-03-05-2023/151031A_mag.txt
151111A,03h47m19s,-44° 10',3,3.5,,,mag-AB-extcorr-03-05-2023/151111A_magAB_extcorr.txt,mag-03-05-2023/151111A_mag.txt
151112A,00h08m11s,-61° 42',3,4.1,0.71,0.06,mag-AB-extcorr-03-05-2023/151112A_magAB_extcorr.txt,mag-03-05-2023/151112A_mag.txt
151215A,06h14m23s,+35° 31',3,2.59,,,mag-AB-extcorr-03-05-2023/151215A_magAB_extcorr.txt,mag-03-05-2023/151215A_mag.txt
160117B,08h48m46s,-16° 20',3,0.87,,,mag-AB-extcorr-03-05-2023/160117B_magAB_extcorr.txt,mag-03-05-2023/160117B_mag.txt
160121A,07h16m19s,-23° 35',3,1.96,,,mag-AB-extcorr-03-05-2023/160121A_magAB_extcorr.txt,mag-03-05-2023/160121A_mag.txt
160131A,05h12m44s,-07° 04',3,0.972,1.09,0.04,mag-AB-extcorr-03-05-2023/160131A_magAB_extcorr.txt,mag-03-05-2023/160131A_Mag.txt
160203A,10h47m48s,-24° 46',3,3.52,,,mag-AB-extcorr-03-05-2023/160203A_magAB_extcorr.txt,mag-03-05-2023/160203A_mag.txt
160227A,12h59m09s,+78° 38',3,2.38,0.7,0.07,mag-AB-extcorr-03-05-2023/160227A_magAB_extcorr.txt,mag-03-05-2023/160227A_mag.txt
160228A,07h09m17s,+26° 57',3,1.64,,,mag-AB-extcorr-03-05-2023/160228A_magAB_extcorr.txt,mag-03-05-2023/160228A_mag.txt
160314A,07h31m07s,+17° 00',3,0.726,0.9,0.15,mag-AB-extcorr-03-05-2023/160314A_magAB_extcorr.txt,mag-03-05-2023/160314A_mag.txt
160410A,10h02m43s,+03° 27',3,1.717,0.46,0.25,mag-AB-extcorr-03-05-2023/160410A_magAB_extcorr.txt,mag-03-05-2023/160410A_mag.txt
160425A,18h41m15s,-54° 22',3,0.555,1.5,0.15,mag-AB-extcorr-03-05-2023/160425A_magAB_extcorr.txt,mag-03-05-2023/160425A_mag.txt
160509A,20h40m24s,+76° 00',30,1.17,0.63,0.19,mag-AB-extcorr-03-05-2023/160509A_magAB_extcorr.txt,mag-03-05-2023/160509A_mag.txt
160623A,21h00m58s,+42° 16',6,0.367,,,mag-AB-extcorr-03-05-2023/160623A_magAB_extcorr.txt,mag-03-05-2023/160623A_mag.txt
160625B,20h33m04s,+06° 54',3,1.406,0.68,0.07,mag-AB-extcorr-03-05-2023/160625B_magAB_extcorr.txt,mag-03-05-2023/160625B_mag.txt
160629A,00h19m17s,+76° 59',3.1,3.332,,,mag-AB-extcorr-03-05-2023/160629A_magAB_extcorr.txt,mag-03-05-2023/160629A_mag.txt
160804A,14h46m33s,+10° 00',3,0.736,0.9,0.12,mag-AB-extcorr-03-05-2023/160804A_magAB_extcorr.txt,mag-03-05-2023/160804A_mag.txt
160821B,18h39m57s,+62° 24',3,0.16,0.66,0.03,mag-AB-extcorr-03-05-2023/160821B_magAB_extcorr.txt,mag-03-05-2023/160821B_mag.txt
161014A,22h10m31s,+07° 29',3,2.823,0.8,0.11,mag-AB-extcorr-03-05-2023/161014A_magAB_extcorr.txt,mag-03-05-2023/161014A_mag.txt
161017A,09h31m04s,+43° 08',3,2.013,0.92,0.02,mag-AB-extcorr-03-05-2023/161017A_magAB_extcorr.txt,mag-03-05-2023/161017A_mag.txt
161023A,20h44m08s,-47° 40',2.6,2.71,0.66,0.08,mag-AB-extcorr-03-05-2023/161023A_magAB_extcorr.txt,mag-03-05-2023/161023A_mag.txt
161108A,12h03m08s,+24° 52',3,1.159,,,mag-AB-extcorr-03-05-2023/161108A_magAB_extcorr.txt,mag-03-05-2023/161108A_mag.txt
161117A,21h28m17s,-29° 38',3,1.549,,,mag-AB-extcorr-03-05-2023/161117A_magAB_extcorr.txt,mag-03-05-2023/161117A_mag.txt
161129A,21h04m46s,+32° 07',3,0.645,,,mag-AB-extcorr-03-05-2023/161129A_magAB_extcorr.txt,mag-03-05-2023/161129A_mag.txt
161219B,06h06m52s,-26° 47',3,0.1475,0.32,0.01,mag-AB-extcorr-03-05-2023/161219B_magAB_extcorr.txt,mag-03-05-2023/161219B_mag.txt
170113A,04h06m36s,-71° 55',3,1.968,0.8,0.07,mag-AB-extcorr-03-05-2023/170113A_magAB_extcorr.txt,mag-03-05-2023/170113A_mag.txt
170202A,10h10m07s,+05° 00',3,3.645,0.47,0.13,mag-AB-extcorr-03-05-2023/170202A_magAB_extcorr.txt,mag-03-05-2023/170202A_mag.txt
170214A,17h05m19s,-01° 53',4.8,2.53,,,mag-AB-extcorr-03-05-2023/170214A_magAB_extcorr.txt,mag-03-05-2023/170214A_mag.txt
170405A,14h39m14s,-25° 15',3,3.51,0.8,0.09,mag-AB-extcorr-03-05-2023/170405A_magAB_extcorr.txt,mag-03-05-2023/170405A_mag.txt
170428A,22h00m15s,+26° 55',3,0.454,,,mag-AB-extcorr-03-05-2023/170428A_magAB_extcorr.txt,mag-03-05-2023/170428A_mag.txt
170519A,10h53m48s,+25° 23',3,0.818,,,mag-AB-extcorr-03-05-2023/170519A_magAB_extcorr.txt,mag-03-05-2023/170519A_mag.txt
170531B,19h07m35s,-16° 26',3,2.366,,,mag-AB-extcorr-03-05-2023/170531B_magAB_extcorr.txt,mag-03-05-2023/170531B_mag.txt
170604A,22h50m35s,-15° 25',3,1.329,0.8,0.08,mag-AB-extcorr-03-05-2023/170604A_magAB_extcorr.txt,mag-03-05-2023/170604A_mag.txt
170607A,00h29m22s,+09° 14',3,0.557,0.9,0.07,mag-AB-extcorr-03-05-2023/170607A_magAB_extcorr.txt,mag-03-05-2023/170607A_mag.txt
170705A,12h46m49s,+18° 18',3,2.01,,,mag-AB-extcorr-03-05-2023/170705A_magAB_extcorr.txt,mag-03-05-2023/170705A_mag.txt
170714A,02h17m17s,+01° 59',3,0.793,0.9,0.05,mag-AB-extcorr-03-05-2023/170714A_magAB_extcorr.txt,mag-03-05-2023/170714A_mag.txt
170817A,12h47m00s,-39° 48',700,0.009783,0.58,0.01,mag-AB-extcorr-03-05-2023/170817A_magAB_extcorr.txt,mag-03-05-2023/170817A_mag.txt
171010A,04h26m58s,-10° 32',14,0.3285,1.33,0.29,mag-AB-extcorr-03-05-2023/171010A_magAB_extcorr.txt,mag-03-05-2023/171010A_mag.txt
171020A,02h37m03s,+15° 11',3,1.87,,,mag-AB-extcorr-03-05-2023/171020A_magAB_extcorr.txt,mag-03-05-2023/171020A_mag.txt
171205A,11h09m47s,-12° 36',3,0.0368,,,mag-AB-extcorr-03-05-2023/171205A_magAB_extcorr.txt,mag-03-05-2023/171205A_mag.txt
171222A,09h53m10s,+35° 37',3,2.409,,,mag-AB-extcorr-03-05-2023/171222A_magAB_extcorr.txt,mag-03-05-2023/171222A_mag.txt
180115A,0h48m18s,-15° 36',,2.487,,,mag-AB-extcorr-03-05-2023/180115A_magAB_extcorr.txt,mag-03-05-2023/180115A_mag.txt
180205A,08h27m17s,+11° 33',3,1.409,0.52,0.02,mag-AB-extcorr-03-05-2023/180205A_magAB_extcorr.txt,mag-03-05-2023/180205A_mag.txt
180314A,06h37m06s,-24° 29',,1.445,,,mag-AB-extcorr-03-05-2023/180314A_magAB_extcorr.txt,mag-03-05-2023/180314A_mag.txt
180325A,10h29m44s,+24° 26',3,2.248,0.45,0.01,mag-AB-extcorr-03-05-2023/180325A_magAB_extcorr.txt,mag-03-05-2023/180325A_mag.txt
180329B,05h31m40s,-23° 42',3,1.998,,,mag-AB-extcorr-03-05-2023/180329B_magAB_extcorr.txt,mag-03-05-2023/180329B_mag.txt
180404A,05h34m15s,-37° 10',3,1,,,mag-AB-extcorr-03-05-2023/180404A_magAB_extcorr.txt,mag-03-05-2023/180404A_mag.txt
180418A,11h20m27s,+24° 57',3,1.55,0.7,0.19,mag-AB-extcorr-03-05-2023/180418A_magAB_extcorr.txt,mag-03-05-2023/180418A_mag.txt
180510B,05h11m57s,-62° 20',3,1.305,,,mag-AB-extcorr-03-05-2023/180510B_magAB_extcorr.txt,mag-03-05-2023/180510B_mag.txt
180620B,23h50m04s,-57° 57',3,1.1175,,,mag-AB-extcorr-03-05-2023/180620B_magAB_extcorr.txt,mag-03-05-2023/180620B_mag.txt
180624A,21h12m17s,-02° 20',3,2.855,,,mag-AB-extcorr-03-05-2023/180624A_magAB_extcorr.txt,mag-03-05-2023/180624A_mag.txt
180703A,00h26m10s,-67° 05',18,0.6678,,,mag-AB-extcorr-03-05-2023/180703A_magAB_extcorr.txt,mag-03-05-2023/180703A_mag.txt
180720B,00h02m07s,-02° 56',3,0.654,0.8,0.04,mag-AB-extcorr-03-05-2023/180720B_magAB_extcorr.txt,mag-03-05-2023/180720B_mag.txt
180728A,16h54m17s,-54° 02',3,0.117,0.67,0.05,mag-AB-extcorr-03-05-2023/180728A_magAB_extcorr.txt,mag-03-05-2023/180728A_mag.txt
180914B,22h09m48s,+24° 53',20,1.096,,,mag-AB-extcorr-03-05-2023/180914B_magAB_extcorr.txt,mag-03-05-2023/180914B_mag.txt
181010A,03h30m14s,-23° 02',3,1.39,0.9,0.09,mag-AB-extcorr-03-05-2023/181010A_magAB_extcorr.txt,mag-03-05-2023/181010A_mag.txt
181020A,00h55m52s,-47° 23',3,2.938,,,mag-AB-extcorr-03-05-2023/181020A_magAB_extcorr.txt,mag-03-05-2023/181020A_mag.txt
181110A,20h09m22s,-36° 54',3,1.505,0.99,0.03,mag-AB-extcorr-03-05-2023/181110A_magAB_extcorr.txt,mag-03-05-2023/181110A_mag.txt
181123B,12h17m23s,+14° 35',3,1.754,0.55,0.17,mag-AB-extcorr-03-05-2023/181123B_magAB_extcorr.txt,mag-03-05-2023/181123B_mag.txt
190106A,01h59m33s,+23° 51',3,1.859,,,mag-AB-extcorr-03-05-2023/190106A_magAB_extcorr.txt,mag-03-05-2023/190106A_mag.txt
190114A,04h22m11s,+02° 10',3,3.3765,,,mag-AB-extcorr-03-05-2023/190114A_magAB_extcorr.txt,mag-03-05-2023/190114A_mag.txt
190114C,03h38m02s,-26° 56',3,0.425,0.83,0.04,mag-AB-extcorr-03-05-2023/190114C_magAB_extcorr.txt,mag-03-05-2023/190114C_mag.txt
190627A,16h19m19s,-05° 18',3,1.942,1,0.14,mag-AB-extcorr-03-05-2023/190627A_magAB_extcorr.txt,mag-03-05-2023/190627A_mag.txt
190719C,16h00m50s,+12° 59',3,2.469,,,mag-AB-extcorr-03-05-2023/190719C_magAB_extcorr.txt,mag-03-05-2023/190719C_mag.txt
190829A,02h58m10s,-08° 58',3,0.0785,0.47,0.09,mag-AB-extcorr-03-05-2023/190829A_magAB_extcorr.txt,mag-03-05-2023/190829A_mag.txt
190919B,20h47m33s,-44° 43',3,3.225,1.05,0.07,mag-AB-extcorr-03-05-2023/190919B_magAB_extcorr.txt,mag-03-05-2023/190919B_mag.txt
191004B,03h16m42s,-39° 37',3,3.503,0.49,0.03,mag-AB-extcorr-03-05-2023/191004B_magAB_extcorr.txt,mag-03-05-2023/191004B_mag.txt
191011A,02h58m54s,-27° 51',3,1.722,0.9,0.16,mag-AB-extcorr-03-05-2023/191011A_magAB_extcorr.txt,mag-03-05-2023/191011A_mag.txt
191019A,22h40m09s,-17° 20',3,0.248,0.78,0.08,mag-AB-extcorr-03-05-2023/191019A_magAB_extcorr.txt,mag-03-05-2023/191019A_mag.txt
191221B,10h19m20s,-38° 08',3,1.148,0.48,0.07,mag-AB-extcorr-03-05-2023/191221B_magAB_extcorr.txt,mag-03-05-2023/191221B_mag.txt
200205B,07h11m13s,-56° 29',3,1.465,,,mag-AB-extcorr-03-05-2023/200205B_magAB_extcorr.txt,mag-03-05-2023/200205B_mag.txt
200522A,00h22m40s,-00° 17',3,0.554,1.1,0.3,mag-AB-extcorr-03-05-2023/200522A_magAB_extcorr.txt,mag-03-05-2023/200522A_mag.txt
200524A,14h11m00s,+60° 58',12,1.256,,,mag-AB-extcorr-03-05-2023/200524A_magAB_extcorr.txt,mag-03-05-2023/200524A_mag.txt
200613A,10h12m07s,+45° 51',8,1.2255,0.9,0.15,mag-AB-extcorr-03-05-2023/200613A_magAB_extcorr.txt,mag-03-05-2023/200613A_mag.txt
200826A,00h27m16s,+34° 02',27*15,0.7481,0.67,0.02,mag-AB-extcorr-03-05-2023/200826A_magAB_extcorr.txt,mag-03-05-2023/200826A_mag.txt
200829A,16h44m51s,+72° 20',3,1.25,0.9,0.07,mag-AB-extcorr-03-05-2023/200829A_magAB_extcorr.txt,mag-03-05-2023/200829A_mag.txt
201014A,01h23m23s,+27° 42',3,4.56,0.9,0.24,mag-AB-extcorr-03-05-2023/201014A_magAB_extcorr.txt,mag-03-05-2023/201014A_mag.txt
201015A,23h37m22s,+53° 24',3,0.426,1.13,0.3,mag-AB-extcorr-03-05-2023/201015A_magAB_extcorr.txt,mag-03-05-2023/201015A_mag.txt
201020A,17h24m59s,+31° 25',3,2.903,1.1,0.18,mag-AB-extcorr-03-05-2023/201020A_magAB_extcorr.txt,mag-03-05-2023/201020A_mag.txt
201020B,04h59m29s,+76° 59',13,0.804,,,mag-AB-extcorr-03-05-2023/201020B_magAB_extcorr.txt,mag-03-05-2023/201020B_mag.txt
201021C,00h50m12s,-55° 50',3,1.07,0.6,0.18,mag-AB-extcorr-03-05-2023/201021C_magAB_extcorr.txt,mag-03-05-2023/201021C_mag.txt
201024A,08h23m47s,+03° 23',3,0.999,,,mag-AB-extcorr-03-05-2023/201024A_magAB_extcorr.txt,mag-03-05-2023/201024A_mag.txt
201103B,02h48m44s,+12° 08',0.1,1.105,,,mag-AB-extcorr-03-05-2023/201103B_magAB_extcorr.txt,mag-03-05-2023/201103B_mag.txt
201104B,00h20m52s,+07° 49',3,1.954,,,mag-AB-extcorr-03-05-2023/201104B_magAB_extcorr.txt,mag-03-05-2023/201104B_mag.txt
201216C,01h05m26s,+16° 32',3,1.1,0.5,0.2,mag-AB-extcorr-03-05-2023/201216C_magAB_extcorr.txt,mag-03-05-2023/201216C_mag.txt
201221A,14h17m55s,-45° 25',3,5.7,,,mag-AB-extcorr-03-05-2023/201221A_magAB_extcorr.txt,mag-03-05-2023/201221A_mag.txt
201221D,11h24m12s,+42° 09',3,1.046,,,mag-AB-extcorr-03-05-2023/201221D_magAB_extcorr.txt,mag-03-05-2023/201221D_mag.txt
210104A,06h54m49s,+64° 40',3,0.46,0.82,0.04,mag-AB-extcorr-03-05-2023/210104A_magAB_extcorr.txt,mag-03-05-2023/210104A_mag.txt
210116A,08h15m15s,-05° 52',0.01,2.514,1.17,0.39,mag-AB-extcorr-03-05-2023/210116A_magAB_extcorr.txt,mag-03-05-2023/210116A_mag.txt
210204A,07h48m19s,+11° 25',0.01,0.876,0.75,0,mag-AB-extcorr-03-05-2023/210204A_magAB_extcorr.txt,mag-03-05-2023/210204A_mag.txt
210210A,17h31m15s,+14° 39',3,0.715,0.9,0.11,mag-AB-extcorr-03-05-2023/210210A_magAB_extcorr.txt,mag-03-05-2023/210210A_mag.txt
210222B,10h18m29s,-14° 54',3,2.198,,,mag-AB-extcorr-03-05-2023/210222B_magAB_extcorr.txt,mag-03-05-2023/210222B_mag.txt
