grb,ra,dec,coorderr,z,beta,beta_err,path_AB,path_raw
071031A,00h25m50s,-58° 03',3',2.69,0.64,0.08,mag-AB-extcorr-03-05-2023/071031A_magAB_extcorr.txt,mag-03-05-2023/071031A_mag.txt
071112C,02h36m53s,+28° 23',3',0.82,0.63,0.29,mag-AB-extcorr-03-05-2023/071112C_magAB_extcorr.txt,mag-03-05-2023/071112C_mag.txt
071117A,22h20m38s,-63° 26',3',1.331,0.41,0.03,mag-AB-extcorr-03-05-2023/071117A_magAB_extcorr.txt,mag-03-05-2023/071117A_mag.txt
071122A,18h26m20s,+47° 04',3',1.14,1.3,0.6,mag-AB-extcorr-03-05-2023/071122A_magAB_extcorr.txt,mag-03-05-2023/071122A_mag.txt
071227A,03h52m29s,-55° 57',3',0.383,0.92,0.06,mag-AB-extcorr-03-05-2023/071227A_magAB_extcorr.txt,mag-03-05-2023/071227A_mag.txt
080109A,09h09m31s,+33°08',?,0.0064941,,,mag-AB-extcorr-03-05-2023/080109A_magAB_extcorr.txt,mag-03-05-2023/080109A_mag.txt
080129A,07h01m07s,-07° 50',3',4.349,0.69,0.05,mag-AB-extcorr-03-05-2023/080129A_magAB_extcorr.txt,mag-03-05-2023/080129A_mag.txt
080205A,06h32m53s,+62° 46',3',2.72,,,mag-AB-extcorr-03-05-2023/080205A_magAB_extcorr.txt,mag-03-05-2023/080205A_mag.txt
080210A,16h45m05s,+13° 50',3',2.641,0.44,0.32,mag-AB-extcorr-03-05-2023/080210A_magAB_extcorr.txt,mag-03-05-2023/080210A_mag.txt
080310A,14h40m19s,-00° 10',3',2.43,0.42,0.12,mag-AB-extcorr-03-05-2023/080310A_magAB_extcorr.txt,mag-03-05-2023/080310A_mag.txt
080319A,13h45m25s,+44° 05',3',2.0265,0.77,0.02,mag-AB-extcorr-03-05-2023/080319A_magAB_extcorr.txt,mag-03-05-2023/080319A_mag.txt
080319B,14h31m42s,+36° 18',3',0.937,0.5,0.07,mag-AB-extcorr-03-05-2023/080319B_magAB_extcorr.txt,mag-03-05-2023/080319B_mag.txt
