filter_id	lambda_eff	zp_v	mag_fromVega_toST	mag_fromVega_toAB
"CAHA.2,2m.BUSCA.None.v"	4123.58	4196.7	notfound	notfound
"CAHA.2,2m.BUSCA.None.y"	5485.58	3602.97	notfound	notfound
"CAHA.2,2m.PANIC.None.H"	16276.74	1034.03	notfound	notfound
"CAHA.2,2m.PANIC.None.J"	12422.5	1561.56	notfound	notfound
"CAHA.2,2m.PANIC.None.Ks"	21411.47	670.74	notfound	notfound
"CAHA.2,2m.PANIC.None.Y"	10207.87	2082.17	notfound	notfound
"CAHA.2,2m.PANIC.None.Z"	8722.17	2267.06	notfound	notfound
"CAHA.2,2m.PlanetCam.None.B"	4433.99	4012.92	notfound	notfound
"CAHA.2,2m.PlanetCam.None.C1"	6352.35	3106.27	notfound	notfound
"CAHA.2,2m.PlanetCam.None.C2"	7498.34	2601.39	notfound	notfound
"CAHA.2,2m.PlanetCam.None.C3"	9356.17	2392.97	notfound	notfound
"CAHA.2,2m.PlanetCam.None.H"	16163.74	1043.33	notfound	notfound
"CAHA.2,2m.PlanetCam.None.HC"	15701.57	1091.36	notfound	notfound
"CAHA.2,2m.PlanetCam.None.HM"	18110.37	875.65	notfound	notfound
"CAHA.2,2m.PlanetCam.None.I"	7800.33	2468.16	notfound	notfound
"CAHA.2,2m.PlanetCam.None.J"	12729.33	1491.97	notfound	notfound
"CAHA.2,2m.PlanetCam.None.JC"	12729.33	1491.97	notfound	notfound
"CAHA.2,2m.PlanetCam.None.JM"	13729.57	1359.06	notfound	notfound
"CAHA.2,2m.PlanetCam.None.M1"	6193.08	3198.15	notfound	notfound
"CAHA.2,2m.PlanetCam.None.M2"	7273.04	2694.3	notfound	notfound
"CAHA.2,2m.PlanetCam.None.M3"	8909.72	2375.05	notfound	notfound
"CAHA.2,2m.PlanetCam.None.R"	6354.99	3015.47	notfound	notfound
"CAHA.2,2m.PlanetCam.None.U"	3716.13	1952.57	notfound	notfound
"CAHA.2,2m.PlanetCam.None.V"	5386.83	3631.4	notfound	notfound
"CAHA.2,2m.PlanetCam.None.V1"	11928.59	1685.04	notfound	notfound
"CAHA.2,2m.PlanetCam.None.V2"	12186.16	1632.36	notfound	notfound
"CAHA.2,2m.PlanetCam.None.V3"	14357.63	1266.41	notfound	notfound
"CAHA.2,2m.PlanetCam.None.YC"	10901.05	1833.1	notfound	notfound
"CAHA.2,2m.PlanetCam.None.YM"	11618.9	1752.13	notfound	notfound
"CAHA.2,2m.LAICA.Johnson.B"	4196.71	3368.23	notfound	notfound
"CAHA.2,2m.LAICA.Johnson.B2"	4324.8	3519.01	notfound	notfound
"CAHA.2,2m.LAICA.Johnson.I"	8795.43	2278.01	notfound	notfound
"CAHA.2,2m.LAICA.Johnson.R"	6467.52	2962.58	notfound	notfound
"CAHA.2,2m.LAICA.Johnson.U"	3730.71	1945.32	notfound	notfound
"CAHA.2,2m.LAICA.Johnson.V"	5428.81	3557.54	notfound	notfound
"CAHA.2,2m.LAICA.SDSS.g"	4855.59	3892.48	notfound	notfound
"CAHA.2,2m.LAICA.SDSS.i"	7659.37	2508.48	notfound	notfound
"CAHA.2,2m.LAICA.SDSS.r"	6186.46	3124.24	notfound	notfound
"CAHA.2,2m.LAICA.SDSS.u"	3585.66	1563.92	notfound	notfound
"CAHA.2,2m.LAICA.SDSS.z"	9075.25	2253.35	notfound	notfound
"CAHA.3,5m.LAICA.Johnson.B"	4196.71	3368.23	notfound	notfound
"CAHA.3,5m.LAICA.Johnson.B2"	4324.8	3519.01	notfound	notfound
"CAHA.3,5m.LAICA.Johnson.I"	8795.43	2278.01	notfound	notfound
"CAHA.3,5m.LAICA.Johnson.R"	6467.52	2962.58	notfound	notfound
"CAHA.3,5m.LAICA.Johnson.U"	3730.71	1945.32	notfound	notfound
"CAHA.3,5m.LAICA.Johnson.V"	5428.81	3557.54	notfound	notfound
"CAHA.3,5m.LAICA.SDSS.g"	4855.59	3892.48	notfound	notfound
"CAHA.3,5m.LAICA.SDSS.i"	7659.37	2508.48	notfound	notfound
"CAHA.3,5m.LAICA.SDSS.r"	6186.46	3124.24	notfound	notfound
"CAHA.3,5m.LAICA.SDSS.u"	3585.66	1563.92	notfound	notfound
"CAHA.3,5m.LAICA.SDSS.z"	9075.25	2253.35	notfound	notfound
"CAHA.3,5m.Omega-2000.None.H"	16357.04	1014.03	notfound	notfound
"CAHA.3,5m.Omega-2000.None.J"	11948	1630.5	notfound	notfound
"CAHA.3,5m.Omega-2000.None.Jhigh"	13000.66	1432	notfound	notfound
"CAHA.3,5m.Omega-2000.None.Jlow"	11956.29	1650.49	notfound	notfound
"CAHA.3,5m.Omega-2000.None.Js"	12344.69	1559.05	notfound	notfound
"CAHA.3,5m.Omega-2000.None.K"	21687.42	646.04	notfound	notfound
"CAHA.3,5m.Omega-2000.None.Kp"	20827.66	690.41	notfound	notfound
"CAHA.3,5m.Omega-2000.None.Ks"	21275.39	667.89	notfound	notfound
"CAHA.3,5m.Omega-2000.None.Y"	10326.96	2022.15	notfound	notfound
"CAHA.3,5m.Omega-2000.None.z"	8989.02	2244.84	notfound	notfound
CAHA.None.ALHAMBRA.None.A366M	3673	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A394M	3954.06	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A425M	4249.11	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A457M	4572.36	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A491M	4913.01	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A522M	5221.07	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A551M	5508.09	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A581M	5807.06	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A613M	6132.23	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A646M	6454.99	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A678M	6779.01	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A708M	7075.51	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A739M	7390.13	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A770M	7697.5	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A802M	8018.51	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A829M	8292.17	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A861M	8613.41	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A892M	8915.95	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A921M	9205.32	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.A948M	9477.79	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F365W	3665.59	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F396W	3948.62	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F427W	4230.27	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F458W	4571.24	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F489W	4917.34	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F520W	5226.09	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F551W	5512.77	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F582W	5811.48	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F613W	6133.31	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F644W	6460	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F675W	6784.44	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F706W	7073.53	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F737W	7390.56	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F768W	7697.25	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F799W	8015.66	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F830W	8294.68	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F861W	8617.35	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F892W	8919.28	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F923W	9211.32	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.F954W	9484.15	3631	notfound	notfound
CAHA.None.ALHAMBRA.None.H	16357.62	1027.58	notfound	notfound
CAHA.None.ALHAMBRA.None.J	11948.69	1636.89	notfound	notfound
CAHA.None.ALHAMBRA.None.Ks	21275.19	678.77	notfound	notfound
CAHA.None.MUNICS.None.I	8599.9	2268.9	notfound	notfound
