GRB,RA,DEC,Class,Redshift,Beta,Beta_Err
150727A,13h35m58s,-18° 21',L,0.313,,
150728A,19h29m09s,+33° 54',S,0.461,,
150818A,15h21m47s,+68° 21',L,0.282,,
150821A,22h47m37s,-57° 52',L,0.755,,
150910A,00h22m42s,+33° 30',L,1.3585,0.53,0.14
150915A,21h18m55s,-34° 51',L,1.968,,
151021A,22h30m27s,-33° 12',L,2.33,,
151027A,18h09m58s,+61° 23',L,0.81,,
151027B,05h04m57s,-06° 26',L,4.063,0.5,0.05
151029A,02h34m08s,-35° 22',L,1.423,1.5,0.39
151031A,05h32m48s,-39° 05',L,1.167,,
151111A,03h47m19s,-44° 10',L,3.5,,
151112A,00h08m11s,-61° 42',L,4.1,0.71,0.06
151215A,06h14m23s,+35° 31',L,2.59,,
160117B,08h48m46s,-16° 20',L,0.87,,
160121A,07h16m19s,-23° 35',L,1.96,,
160131A,05h12m44s,-07° 04',L,0.972,1.09,0.04
160203A,10h47m48s,-24° 46',L,3.52,,
160227A,12h59m09s,+78° 38',L,2.38,0.7,0.07
160228A,07h09m17s,+26° 57',SEE,1.64,,
160314A,07h31m07s,+17° 00',L,0.726,0.9,0.15
160410A,10h02m43s,+03° 27',SEE,1.717,0.46,0.25
160425A,18h41m15s,-54° 22',L,0.555,1.5,0.15
160509A,20h40m24s,+76° 00',L,1.17,0.6,
160623A,21h00m58s,+42° 16',L,0.367,,
160625B,20h33m04s,+06° 54',L,1.406,0.68,0.07
160629A,00h19m17s,+76° 59',L,3.332,,
160804A,14h46m33s,+10° 00',L,0.736,0.9,0.12
160821B,18h39m57s,+62° 24',S,0.16,0.66,0.03
161014A,22h10m31s,+07° 29',L,2.823,0.8,0.11
161017A,09h31m04s,+43° 08',L,2.013,0.92,0.02
161023A,20h44m08s,-47° 40',L,2.71,0.66,0.08
161108A,12h03m08s,+24° 52',L,1.159,,
161117A,21h28m17s,-29° 38',L,1.549,,
161129A,21h04m46s,+32° 07',L,0.645,,
161219B,06h06m52s,-26° 47',SN-B,0.1475,0.32,0.01
170113A,04h06m36s,-71° 55',L,1.968,0.8,0.07
170202A,10h10m07s,+05° 00',L,3.645,0.47,0.13
170214A,17h05m19s,-01° 53',L,2.53,,
170405A,14h39m14s,-25° 15',L,3.51,0.8,0.09
170428A,22h00m15s,+26° 55',S,0.454,,
170519A,10h53m48s,+25° 23',L,0.818,,
170531B,19h07m35s,-16° 26',L,2.366,,
170604A,22h50m35s,-15° 25',L-XRF,1.329,0.8,0.08
170607A,00h29m22s,+09° 14',L,0.557,0.9,0.07
170705A,12h46m49s,+18° 18',L,2.01,,
170714A,02h17m17s,+01° 59',UL,0.793,0.9,0.05
170817A,12h47m00s,-39° 48',S,0.009783,0.58,0.01
171010A,04h26m58s,-10° 32',SN-A,0.3285,1.33,0.29
171020A,02h37m03s,+15° 11',L,1.87,,
171205A,11h09m47s,-12° 36',SN-B,0.0368,0.35,
171222A,09h53m10s,+35° 37',L,2.409,,
180115A,0h48m18s,-15° 36',L,2.487,,
180205A,08h27m17s,+11° 33',L,1.409,0.52,0.02
180314A,06h37m06s,-24° 29',L,1.445,,
180325A,10h29m44s,+24° 26',L,2.248,0.45,0.01
180329B,05h31m40s,-23° 42',L,1.998,,
180404A,05h34m15s,-37° 10',L,1,,
180418A,11h20m27s,+24° 57',L,1.55,0.7,0.19
180510B,05h11m57s,-62° 20',L,1.305,,
180620B,23h50m04s,-57° 57',L,1.1175,,
180624A,21h12m17s,-02° 20',L,2.855,,
